STATE,TRUMP_POPULAR,CLINTON_POPULAR,OTHER_POPULAR,HIGH_SCHOOL,COLLEGE,MEDIAN_INCOME,WHITE,BLACK,AMERICAN,ASIAN,NATIVE_HAWAIAN,HISPANIC
AL,"1,318,255","729,547","75,570",0.848,0.24,44758,0.693,0.268,0.007,0.014,0.001,0.042
AK,"163,387","116,454","38,767",0.923,0.288,74444,0.661,0.038,0.152,0.063,0.013,0.07
AZ,"1,252,401","1,161,167","159,597",0.862,0.28,51340,0.833,0.049,0.054,0.034,0.003,0.309
AR,"684,872","380,494","65,310",0.852,0.215,42336,0.794,0.157,0.01,0.016,0.003,0.073
CA,"4,483,814","8,753,792","943,998",0.821,0.32,63873,0.727,0.065,0.017,0.148,0.005,0.389
CO,"1,202,484","1,338,870","238,893",0.91,0.387,62520,0.875,0.045,0.016,0.033,0.002,0.213
CT,"673,215","897,572","74,133",0.87,0.303,55322,0.769,0.133,0.013,0.057,0.002,0.178
DE,"185,127","235,603","23,084",0.888,0.305,61017,0.701,0.226,0.006,0.04,0.001,0.092
DC,"12,723","282,830","15,715",0.9,0.554,72935,0.446,0.447,0.006,0.041,0.002,0.109
FL,"4,617,886","4,504,975","297,178",0.872,0.279,48900,0.776,0.168,0.005,0.029,0.001,0.249
GA,"2,089,104","1,877,963","147,665",0.858,0.294,51037,0.612,0.32,0.005,0.041,0.001,0.094
HI,"128,847","266,891","33,199",0.914,0.314,71977,0.258,0.022,0.004,0.377,0.102,0.104
ID,"409,055","189,765","91,435",0.9,0.262,49174,0.933,0.008,0.018,0.015,0.002,0.123
IL,"2,146,015","3,090,729","299,680",0.883,0.329,59196,0.772,0.147,0.006,0.055,0.001,0.17
IN,"1,557,286","1,033,126","144,546",0.881,0.246,50433,0.856,0.097,0.004,0.022,0.001,0.068
IA,"800,983","653,669","111,379",0.917,0.272,54570,0.914,0.037,0.005,0.025,0.001,0.058
KS,"671,018","427,005","86,379",0.903,0.316,53571,0.866,0.062,0.012,0.03,0.001,0.116
KY,"1,202,971","628,854","92,324",0.846,0.227,44811,0.88,0.083,0.003,0.015,0.001,0.035
LA,"1,178,638","780,154","70,240",0.838,0.23,46652,0.632,0.326,0.008,0.018,0.001,0.05
ME,"335,593","357,735","54,599",0.919,0.293,50826,0.948,0.015,0.007,0.012,0.0005,0.016
MD,"943,169","1,677,928","160,349",0.896,0.384,76067,0.593,0.307,0.006,0.066,0.001,0.098
MA,"1,090,893","1,995,196","238,957",0.901,0.412,70954,0.818,0.086,0.005,0.067,0.001,0.115
MI,"2,279,543","2,268,839","250,902",0.899,0.274,50803,0.796,0.142,0.007,0.031,0.0005,0.05
MN,"1,322,951","1,367,716","254,146",0.926,0.342,63217,0.85,0.062,0.013,0.049,0.001,0.052
MS,"700,714","485,131","23,512",0.83,0.21,40528,0.593,0.377,0.006,0.011,0.001,0.031
MO,"1,594,511","1,071,068","143,026",0.888,0.276,49593,0.832,0.118,0.006,0.02,0.001,0.041
MT,"279,240","177,709","40,198",0.929,0.299,48380,0.892,0.006,0.066,0.008,0.001,0.036
NE,"495,961","284,494","63,772",0.907,0.3,54384,0.889,0.05,0.014,0.025,0.001,0.107
NV,"512,058","539,260","74,067",0.854,0.232,53095,0.751,0.096,0.016,0.087,0.008,0.285
NH,"345,790","348,526","49,980",0.926,0.355,68485,0.938,0.015,0.003,0.027,0.001,0.035
NJ,"1,601,933","2,148,278","123,835",0.889,0.375,73702,0.724,0.15,0.006,0.098,0.001,0.2
NM,"319,667","385,234","93,418",0.846,0.267,45674,0.825,0.025,0.106,0.017,0.002,0.485
NY,"2,819,533","4,556,118","345,791",0.859,0.347,60741,0.699,0.177,0.01,0.089,0.001,0.19
NC,"2,362,631","2,189,316","189,617",0.863,0.29,48256,0.71,0.222,0.016,0.029,0.001,0.092
ND,"216,794","93,758","33,808",0.92,0.282,59114,0.879,0.029,0.055,0.015,0.001,0.036
OH,"2,841,005","2,394,164","261,318",0.895,0.267,50674,0.825,0.128,0.003,0.022,0.001,0.037
OK,"949,136","420,375","83,481",0.873,0.245,48038,0.745,0.078,0.092,0.022,0.002,0.103
OR,"782,403","1,002,106","216,827",0.9,0.314,53270,0.874,0.021,0.018,0.045,0,0.128
PA,"2,970,733","2,926,441","268,304",0.895,0.293,54895,0.824,0.118,0.004,0.035,0.001,0.07
RI,"180,543","252,525","31,076",0.87,0.325,58387,0.844,0.081,0.01,0.036,0.002,0.149
SC,"1,155,389","855,373","92,265",0.86,0.265,46898,0.685,0.275,0.005,0.016,0.001,0.055
SD,"227,721","117,458","24,914",0.912,0.275,52078,0.852,0.02,0.09,0.015,0.001,0.037
TN,"1,522,925","870,695","114,407",0.86,0.254,46574,0.787,0.171,0.4,0.018,0.001,0.052
TX,"4,685,047","3,877,868","406,311",0.823,0.281,54727,0.794,0.126,0.01,0.048,0.001,0.391
UT,"515,231","310,676","305,523",0.915,0.317,62518,0.911,0.014,0.016,0.025,0.01,0.138
VT,"95,369","178,573","41,125",0.919,0.362,56104,0.946,0.013,0.004,0.018,0.0005,0.019
VA,"1,769,443","1,981,473","233,715",0.886,0.369,66149,0.7,0.198,0.005,0.066,0.001,0.091
WA,"1,221,747","1,742,718","352,554",0.906,0.336,62848,0.8,0.041,0.019,0.086,0.008,0.124
WV,"489,371","188,794","36,258",0.853,0.196,42644,0.936,0.036,0.002,0.008,0.0005,0.015
WI,"1,405,284","1,382,536","188,330",0.914,0.284,54610,0.875,0.066,0.011,0.028,0.001,0.067
WY,"174,419","55,973","25,457",0.924,0.26,59143,0.928,0.013,0.027,0.01,0.001,0.1
,,,,,,,,,,,,
,,,,,,,,,,,,
